"units","variable","hour","day","ref","refWeekend","floor","zone","subzone","sdTimes","value","time","min","max"
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",11,"11",0.444658333333333,0.290054166666667,"1","all","",-0.400603808379128,0.1722,"11:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0,"00:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0,"00:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0,"00:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0,"00:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0,"00:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",0,"11",0.51435,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"00:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:50:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:10:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0,"01:15:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:55:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:25:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:00:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:05:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:20:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:40:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:45:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:30:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:35:00",0,0.91245
"%","F_1_VAV_SYS.Outdoor.Air.Flow.Fraction",1,"11",0.788116666666667,0.616183333333333,"1","all","",-1.02138745784229,0.3444,"01:50:00",0,0.91245
